,age,gender,time_available,route_type,price,difficulty,accompaniment,transport,selection_map
15103,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Familia,Bicicleta,1
15104,18-35,Hombre,5 - 6,Historica,Gratis,Alta,Solo,Pie,17
15105,+45,Hombre,1 - 2,Patrimonio,Gratis,Baja,Pareja,Bicicleta,15
15106,+45,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Pie,9
15107,35-45,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,11
15108,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,9
15109,18-35,Mujer,1 - 2,Literaria,1-50 Euros,Baja,Solo,Pie,8
15110,18-35,Hombre,7 - 8,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,20
15111,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,2
15112,35-45,Hombre,1 - 2,Literaria,Gratis,Alta,Solo,Bicicleta,15
15113,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,19
15114,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,8
15115,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,22
15116,18-35,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Pie,7
15117,35-45,Mujer,7 - 8,Literaria,+50 Euros,Alta,Pareja,Pie,20
15118,35-45,Prefiero no decirlo,1 - 2,Historica,1-50 Euros,Alta,Pareja,Pie,5
15119,+45,Hombre,1 - 2,Literaria,Gratis,Baja,Solo,Bicicleta,21
15120,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,0
15121,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,8
15122,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,2
15123,+45,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,22
15124,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Familia,Bicicleta,6
15125,18-35,Mujer,1 - 2,Literaria,Gratis,Alta,Pareja,Bicicleta,7
15126,35-45,Mujer,1 - 2,Historica,Gratis,Alta,Solo,Pie,23
15127,+45,Hombre,1 - 2,Historica,1-50 Euros,Alta,Solo,Bicicleta,12
15128,+45,Mujer,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,8
15129,18-35,Prefiero no decirlo,1 - 2,Historica,1-50 Euros,Alta,Solo,Pie,3
15130,18-35,Mujer,3 - 4,Turistica,+50 Euros,Baja,Familia,Bicicleta,14
15131,18-35,Hombre,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,12
15132,18-35,Hombre,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,7
15133,18-35,Mujer,3 - 4,Historica,Gratis,Alta,Pareja,Pie,0
15134,35-45,Mujer,7 - 8,Literaria,1-50 Euros,Baja,Pareja,Pie,7
15135,+45,Mujer,1 - 2,Literaria,Gratis,Alta,Familia,Pie,17
15136,35-45,Hombre,7 - 8,Historica,Gratis,Alta,Pareja,Pie,7
15137,35-45,Hombre,7 - 8,Historica,+50 Euros,Baja,Pareja,Bicicleta,22
15138,35-45,Hombre,3 - 4,Literaria,Gratis,Alta,Familia,Bicicleta,14
15139,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,22
15140,18-35,Mujer,3 - 4,Historica,Gratis,Alta,Solo,Bicicleta,6
15141,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Pareja,Bicicleta,3
15142,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,11
15143,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Familia,Pie,4
15144,+45,Mujer,7 - 8,Historica,Gratis,Alta,Pareja,Bicicleta,15
15145,35-45,Hombre,1 - 2,Patrimonio,Gratis,Baja,Solo,Bicicleta,20
15146,+45,Mujer,7 - 8,Turistica,Gratis,Baja,Solo,Pie,21
15147,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,4
15148,18-35,Hombre,1 - 2,Turistica,+50 Euros,Baja,Solo,Bicicleta,19
15149,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Pie,14
15150,18-35,Mujer,5 - 6,Historica,Gratis,Alta,Pareja,Bicicleta,17
15151,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,2
15152,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Pie,8
15153,18-35,Hombre,5 - 6,Turistica,Gratis,Alta,Pareja,Bicicleta,17
15154,35-45,Hombre,3 - 4,Historica,+50 Euros,Baja,Pareja,Bicicleta,10
15155,+45,Hombre,3 - 4,Historica,Gratis,Alta,Familia,Pie,12
15156,35-45,Hombre,7 - 8,Patrimonio,Gratis,Alta,Pareja,Bicicleta,17
15157,18-35,Mujer,3 - 4,Historica,1-50 Euros,Alta,Pareja,Bicicleta,16
15158,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Pie,19
15159,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,13
15160,18-35,Hombre,7 - 8,Literaria,Gratis,Baja,Solo,Bicicleta,4
15161,+45,Mujer,7 - 8,Turistica,Gratis,Alta,Familia,Pie,11
15162,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Bicicleta,9
15163,+45,Hombre,1 - 2,Historica,+50 Euros,Baja,Pareja,Pie,13
15164,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,20
15165,18-35,Hombre,3 - 4,Turistica,+50 Euros,Baja,Pareja,Pie,8
15166,18-35,Mujer,1 - 2,Historica,Gratis,Alta,Solo,Bicicleta,12
15167,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,19
15168,18-35,Mujer,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,12
15169,18-35,Mujer,1 - 2,Historica,+50 Euros,Baja,Solo,Pie,6
15170,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Bicicleta,3
15171,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Solo,Pie,18
15172,35-45,Hombre,5 - 6,Historica,1-50 Euros,Baja,Pareja,Pie,15
15173,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,13
15174,18-35,Hombre,7 - 8,Turistica,+50 Euros,Alta,Familia,Pie,16
15175,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,17
15176,35-45,Mujer,3 - 4,Literaria,Gratis,Baja,Solo,Pie,3
15177,35-45,Prefiero no decirlo,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,8
15178,35-45,Mujer,1 - 2,Historica,Gratis,Alta,Familia,Pie,3
15179,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Solo,Pie,3
15180,+45,Hombre,7 - 8,Historica,Gratis,Alta,Solo,Pie,15
15181,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Solo,Pie,18
15182,35-45,Hombre,7 - 8,Literaria,Gratis,Baja,Solo,Pie,8
15183,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,13
15184,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Familia,Pie,7
15185,35-45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,17
15186,18-35,Mujer,1 - 2,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,15
15187,35-45,Hombre,7 - 8,Turistica,+50 Euros,Baja,Familia,Bicicleta,21
15188,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,5
15189,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Bicicleta,18
15190,35-45,Mujer,7 - 8,Historica,Gratis,Baja,Pareja,Pie,9
15191,18-35,Mujer,3 - 4,Turistica,Gratis,Alta,Solo,Pie,12
15192,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,6
15193,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,14
15194,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Familia,Pie,16
15195,+45,Prefiero no decirlo,7 - 8,Historica,Gratis,Alta,Pareja,Pie,3
15196,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Familia,Bicicleta,20
15197,+45,Mujer,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,8
15198,35-45,Prefiero no decirlo,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,8
15199,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,8
15200,18-35,Hombre,1 - 2,Patrimonio,Gratis,Alta,Pareja,Pie,22
15201,18-35,Prefiero no decirlo,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,4
15202,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Solo,Pie,5
15203,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,5
15204,35-45,Mujer,1 - 2,Historica,+50 Euros,Baja,Familia,Pie,7
15205,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Familia,Pie,3
15206,35-45,Hombre,7 - 8,Historica,1-50 Euros,Baja,Familia,Bicicleta,21
15207,18-35,Mujer,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,16
15208,+45,Hombre,3 - 4,Turistica,1-50 Euros,Alta,Solo,Pie,17
15209,35-45,Hombre,7 - 8,Historica,Gratis,Baja,Solo,Pie,12
15210,35-45,Hombre,3 - 4,Historica,1-50 Euros,Alta,Pareja,Bicicleta,17
15211,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Familia,Pie,8
15212,18-35,Hombre,1 - 2,Turistica,+50 Euros,Baja,Solo,Bicicleta,10
15213,18-35,Hombre,3 - 4,Literaria,Gratis,Alta,Pareja,Pie,11
15214,35-45,Mujer,1 - 2,Historica,1-50 Euros,Alta,Solo,Pie,3
15215,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Pie,9
15216,+45,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,13
15217,35-45,Mujer,3 - 4,Turistica,Gratis,Baja,Solo,Pie,20
15218,35-45,Hombre,3 - 4,Literaria,Gratis,Alta,Solo,Bicicleta,17
15219,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Bicicleta,18
15220,35-45,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Bicicleta,15
15221,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Familia,Bicicleta,18
15222,18-35,Mujer,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,9
15223,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,4
15224,+45,Mujer,3 - 4,Patrimonio,Gratis,Alta,Familia,Bicicleta,21
15225,18-35,Mujer,7 - 8,Turistica,Gratis,Alta,Familia,Bicicleta,20
15226,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Familia,Pie,2
15227,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Pie,8
15228,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Familia,Bicicleta,7
15229,35-45,Hombre,7 - 8,Historica,Gratis,Alta,Solo,Pie,13
15230,35-45,Prefiero no decirlo,1 - 2,Historica,Gratis,Baja,Pareja,Pie,19
15231,18-35,Hombre,7 - 8,Historica,1-50 Euros,Alta,Solo,Bicicleta,18
15232,+45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Familia,Bicicleta,16
15233,35-45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,15
15234,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,11
15235,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Bicicleta,12
15236,18-35,Hombre,3 - 4,Historica,+50 Euros,Baja,Solo,Bicicleta,12
15237,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,9
15238,35-45,Mujer,3 - 4,Literaria,1-50 Euros,Baja,Solo,Pie,14
15239,18-35,Prefiero no decirlo,3 - 4,Patrimonio,Gratis,Alta,Pareja,Pie,10
15240,+45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,20
15241,18-35,Mujer,3 - 4,Literaria,Gratis,Baja,Solo,Bicicleta,5
15242,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Bicicleta,7
15243,35-45,Mujer,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,5
15244,+45,Hombre,3 - 4,Patrimonio,Gratis,Alta,Familia,Pie,23
15245,+45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,6
15246,35-45,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Pie,20
15247,18-35,Prefiero no decirlo,3 - 4,Turistica,+50 Euros,Alta,Familia,Pie,5
15248,35-45,Hombre,7 - 8,Historica,1-50 Euros,Alta,Solo,Bicicleta,7
15249,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,8
15250,+45,Prefiero no decirlo,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,6
15251,18-35,Mujer,1 - 2,Literaria,+50 Euros,Baja,Solo,Bicicleta,6
15252,35-45,Prefiero no decirlo,3 - 4,Historica,Gratis,Baja,Pareja,Pie,0
15253,18-35,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Pie,5
15254,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Alta,Solo,Bicicleta,7
15255,18-35,Hombre,3 - 4,Literaria,Gratis,Alta,Pareja,Pie,21
15256,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,6
15257,18-35,Mujer,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,10
15258,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Pie,20
15259,18-35,Prefiero no decirlo,3 - 4,Historica,1-50 Euros,Baja,Solo,Pie,1
15260,35-45,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,3
15261,35-45,Hombre,1 - 2,Turistica,+50 Euros,Baja,Pareja,Pie,5
15262,18-35,Hombre,7 - 8,Patrimonio,Gratis,Alta,Pareja,Bicicleta,5
15263,35-45,Mujer,3 - 4,Literaria,Gratis,Alta,Pareja,Bicicleta,6
15264,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,20
15265,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,14
15266,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,6
15267,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,10
15268,+45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Familia,Bicicleta,19
15269,35-45,Mujer,3 - 4,Historica,1-50 Euros,Alta,Solo,Pie,22
15270,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Pie,13
15271,+45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,16
15272,18-35,Mujer,1 - 2,Historica,1-50 Euros,Alta,Pareja,Pie,5
15273,18-35,Prefiero no decirlo,1 - 2,Turistica,1-50 Euros,Baja,Solo,Bicicleta,2
15274,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,1
15275,+45,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,9
15276,35-45,Prefiero no decirlo,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,10
15277,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Pie,3
15278,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Pareja,Pie,7
15279,18-35,Prefiero no decirlo,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,1
15280,18-35,Hombre,5 - 6,Patrimonio,Gratis,Alta,Pareja,Bicicleta,19
15281,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,22
15282,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Pie,13
15283,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Familia,Pie,16
15284,+45,Hombre,7 - 8,Historica,Gratis,Alta,Solo,Bicicleta,20
15285,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,7
15286,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,16
15287,35-45,Mujer,7 - 8,Literaria,Gratis,Baja,Solo,Pie,14
15288,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Familia,Pie,9
15289,+45,Mujer,1 - 2,Historica,Gratis,Alta,Solo,Pie,3
15290,35-45,Hombre,5 - 6,Literaria,Gratis,Alta,Pareja,Pie,21
15291,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Bicicleta,17
15292,18-35,Mujer,3 - 4,Historica,1-50 Euros,Baja,Familia,Bicicleta,15
15293,35-45,Hombre,1 - 2,Patrimonio,Gratis,Baja,Pareja,Bicicleta,10
15294,35-45,Mujer,1 - 2,Historica,1-50 Euros,Alta,Pareja,Pie,1
15295,35-45,Hombre,7 - 8,Literaria,1-50 Euros,Alta,Solo,Pie,9
15296,35-45,Mujer,7 - 8,Turistica,1-50 Euros,Alta,Solo,Pie,3
15297,35-45,Prefiero no decirlo,1 - 2,Turistica,Gratis,Baja,Solo,Pie,1
15298,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,2
15299,35-45,Mujer,3 - 4,Turistica,Gratis,Baja,Familia,Bicicleta,4
15300,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Familia,Bicicleta,20
15301,18-35,Hombre,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,22
15302,18-35,Mujer,3 - 4,Patrimonio,Gratis,Baja,Solo,Pie,16
15303,35-45,Hombre,7 - 8,Historica,1-50 Euros,Baja,Solo,Bicicleta,15
15304,+45,Hombre,1 - 2,Turistica,Gratis,Baja,Familia,Pie,19
15305,35-45,Mujer,1 - 2,Historica,+50 Euros,Alta,Pareja,Pie,9
15306,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,3
15307,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Bicicleta,13
15308,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Solo,Pie,13
15309,35-45,Mujer,3 - 4,Historica,+50 Euros,Baja,Familia,Pie,18
15310,35-45,Mujer,7 - 8,Literaria,Gratis,Alta,Familia,Bicicleta,22
15311,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,16
15312,35-45,Hombre,7 - 8,Historica,1-50 Euros,Baja,Pareja,Bicicleta,10
15313,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,8
15314,35-45,Mujer,7 - 8,Historica,Gratis,Baja,Pareja,Pie,7
15315,35-45,Mujer,1 - 2,Historica,Gratis,Alta,Familia,Pie,4
15316,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Bicicleta,3
15317,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Solo,Bicicleta,3
15318,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,8
15319,18-35,Hombre,7 - 8,Historica,1-50 Euros,Alta,Pareja,Bicicleta,21
15320,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,2
15321,18-35,Hombre,5 - 6,Historica,Gratis,Baja,Pareja,Bicicleta,3
15322,18-35,Hombre,3 - 4,Patrimonio,+50 Euros,Baja,Pareja,Bicicleta,6
15323,35-45,Prefiero no decirlo,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,2
15324,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,17
15325,+45,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,13
15326,18-35,Mujer,1 - 2,Historica,Gratis,Alta,Pareja,Pie,16
15327,18-35,Hombre,1 - 2,Literaria,Gratis,Baja,Solo,Bicicleta,15
15328,18-35,Mujer,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,14
15329,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,11
15330,18-35,Hombre,3 - 4,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,5
15331,18-35,Hombre,3 - 4,Literaria,Gratis,Baja,Solo,Bicicleta,9
15332,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,5
15333,18-35,Mujer,1 - 2,Literaria,Gratis,Alta,Pareja,Pie,14
15334,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Bicicleta,3
15335,35-45,Mujer,5 - 6,Patrimonio,Gratis,Baja,Solo,Pie,17
15336,35-45,Hombre,3 - 4,Patrimonio,Gratis,Alta,Solo,Bicicleta,13
15337,35-45,Mujer,3 - 4,Turistica,Gratis,Alta,Solo,Pie,16
15338,35-45,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Pareja,Pie,4
15339,18-35,Mujer,3 - 4,Literaria,Gratis,Alta,Pareja,Bicicleta,19
15340,35-45,Hombre,7 - 8,Turistica,1-50 Euros,Alta,Familia,Pie,22
15341,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Pareja,Pie,9
15342,+45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,21
15343,35-45,Hombre,1 - 2,Patrimonio,1-50 Euros,Baja,Solo,Bicicleta,16
15344,35-45,Prefiero no decirlo,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,9
15345,35-45,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,6
15346,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,17
15347,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,15
15348,35-45,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Pie,2
15349,35-45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Familia,Pie,5
15350,18-35,Mujer,1 - 2,Patrimonio,Gratis,Baja,Pareja,Bicicleta,22
15351,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Pie,4
15352,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Solo,Bicicleta,7
15353,18-35,Prefiero no decirlo,1 - 2,Turistica,Gratis,Baja,Solo,Pie,20
15354,18-35,Prefiero no decirlo,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,11
15355,18-35,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,3
15356,35-45,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,12
15357,18-35,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Familia,Bicicleta,18
15358,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Bicicleta,14
15359,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Solo,Pie,6
15360,35-45,Hombre,1 - 2,Literaria,Gratis,Baja,Pareja,Bicicleta,18
15361,35-45,Hombre,1 - 2,Turistica,Gratis,Alta,Solo,Pie,21
15362,18-35,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Pie,14
15363,18-35,Mujer,1 - 2,Historica,Gratis,Alta,Familia,Bicicleta,17
15364,+45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Solo,Pie,12
15365,35-45,Mujer,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,16
15366,18-35,Prefiero no decirlo,3 - 4,Turistica,1-50 Euros,Baja,Solo,Bicicleta,17
15367,18-35,Hombre,7 - 8,Turistica,Gratis,Alta,Pareja,Pie,9
15368,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Pie,6
15369,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Pareja,Pie,12
15370,35-45,Mujer,7 - 8,Turistica,Gratis,Alta,Solo,Bicicleta,13
15371,18-35,Hombre,1 - 2,Historica,1-50 Euros,Alta,Pareja,Bicicleta,14
15372,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Pie,20
15373,18-35,Hombre,7 - 8,Turistica,Gratis,Baja,Pareja,Bicicleta,9
15374,18-35,Hombre,1 - 2,Historica,+50 Euros,Baja,Solo,Bicicleta,9
15375,+45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,15
15376,18-35,Hombre,3 - 4,Turistica,+50 Euros,Baja,Solo,Bicicleta,18
15377,35-45,Prefiero no decirlo,3 - 4,Turistica,Gratis,Baja,Familia,Pie,6
15378,35-45,Mujer,1 - 2,Patrimonio,Gratis,Baja,Familia,Pie,20
15379,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,10
15380,35-45,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Pareja,Pie,3
15381,18-35,Hombre,5 - 6,Turistica,+50 Euros,Baja,Familia,Bicicleta,19
15382,35-45,Hombre,7 - 8,Patrimonio,Gratis,Baja,Solo,Bicicleta,15
15383,18-35,Mujer,7 - 8,Literaria,Gratis,Baja,Solo,Pie,2
15384,35-45,Hombre,7 - 8,Turistica,Gratis,Alta,Familia,Bicicleta,22
15385,18-35,Mujer,3 - 4,Turistica,+50 Euros,Baja,Solo,Pie,7
15386,35-45,Mujer,3 - 4,Historica,Gratis,Alta,Solo,Bicicleta,17
15387,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Familia,Bicicleta,13
15388,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Alta,Familia,Bicicleta,16
15389,+45,Hombre,3 - 4,Turistica,Gratis,Baja,Familia,Pie,4
15390,35-45,Hombre,7 - 8,Historica,Gratis,Alta,Pareja,Pie,16
15391,35-45,Hombre,1 - 2,Turistica,1-50 Euros,Baja,Solo,Bicicleta,13
15392,35-45,Prefiero no decirlo,1 - 2,Historica,Gratis,Alta,Solo,Pie,19
15393,+45,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,9
15394,+45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,1
15395,18-35,Prefiero no decirlo,1 - 2,Turistica,+50 Euros,Baja,Solo,Pie,14
15396,+45,Mujer,1 - 2,Historica,Gratis,Alta,Solo,Bicicleta,20
15397,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,0
15398,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Pie,13
15399,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Pie,22
15400,+45,Mujer,1 - 2,Turistica,Gratis,Alta,Solo,Pie,16
15401,18-35,Hombre,7 - 8,Literaria,1-50 Euros,Alta,Solo,Bicicleta,20
15402,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Bicicleta,17
15403,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Bicicleta,20
15404,18-35,Hombre,7 - 8,Turistica,+50 Euros,Baja,Solo,Pie,7
15405,18-35,Mujer,3 - 4,Historica,1-50 Euros,Alta,Solo,Pie,8
15406,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Familia,Pie,13
15407,18-35,Hombre,7 - 8,Turistica,+50 Euros,Baja,Solo,Bicicleta,0
15408,+45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,4
15409,35-45,Mujer,3 - 4,Literaria,Gratis,Baja,Pareja,Bicicleta,2
15410,35-45,Mujer,1 - 2,Literaria,Gratis,Baja,Solo,Bicicleta,13
15411,18-35,Hombre,1 - 2,Patrimonio,Gratis,Alta,Solo,Bicicleta,16
15412,18-35,Hombre,7 - 8,Historica,Gratis,Alta,Pareja,Bicicleta,2
